,title,price,district,rooms,sqrt_mtrs,url_adress
0,"b'Sprzedam 3-pokojowe mieszkanie (49m2) na Bielanach, Przy Agorze 26a'",420000,"b'Warszawa, Bielany'",,,https://www.olx.pl/oferta/sprzedam-3-pokojowe-mieszkanie-49m2-na-bielanach-przy-agorze-26a-CID3-IDDBLd9.html#529fe8f04c;promoted
1,"b'Warszawa Weso\xc5\x82a,mieszkanie 88/78 m , dwupoziomowe,4 pokoje ,2 \xc5\x82azienki'",530000,"b'Warszawa, Weso\xc5\x82a'",,,https://www.olx.pl/oferta/warszawa-wesola-mieszkanie-88-78-m-dwupoziomowe-4-pokoje-2-lazienki-CID3-IDDzocw.html#529fe8f04c;promoted
2,b'Kawalerka \xc5\xbboliborz bezpo\xc5\x9brednio',365000,"b'Warszawa, \xc5\xbboliborz'",,,https://www.olx.pl/oferta/kawalerka-zoliborz-bezposrednio-CID3-IDDvpVT.html#529fe8f04c;promoted
3,b'Sprzedam kawalerk\xc4\x99 z balkonem przy Skarbka z G\xc3\xb3r - do remontu',315000,"b'Warszawa, Bia\xc5\x82o\xc5\x82\xc4\x99ka'",,,https://www.olx.pl/oferta/sprzedam-kawalerke-z-balkonem-przy-skarbka-z-gor-do-remontu-CID3-IDDrgQL.html#529fe8f04c;promoted
4,b'Wyj\xc4\x85tkowe Designerskie 2-pok. Stary \xc5\xbboliborz Kamienica',576146,"b'Warszawa, \xc5\xbboliborz'",,,https://www.olx.pl/oferta/wyjatkowe-designerskie-2-pok-stary-zoliborz-kamienica-CID3-IDCSJO1.html#529fe8f04c;promoted
5,"b'3 pokojowe Targ\xc3\xb3wek, bezposrednio'",519000,"b'Warszawa, Targ\xc3\xb3wek'",,,https://www.otodom.pl/oferta/3-pokojowe-targowek-bezposrednio-ID44oN8.html?
6,"b'Kawalerka 28,09m2 ul. Cybernetyki Mokot\xc3\xb3w'",389000,"b'Warszawa, Mokot\xc3\xb3w'",,,https://www.otodom.pl/oferta/kawalerka-28-09m2-ul-cybernetyki-mokotow-ID3BY4A.html?
7,b'Sprzedam bezpo\xc5\x9brednio! Mieszkanie 68m2 na Woli. Metro!',640000,"b'Warszawa, Wola'",,,https://www.olx.pl/oferta/sprzedam-bezposrednio-mieszkanie-68m2-na-woli-metro-CID3-IDDs0IS.html#529fe8f04c;promoted
8,b'Sprzedam mieszkanie trzypokojowe przy Jana Kazimierza',670000,"b'Warszawa, Wola'",,,https://www.olx.pl/oferta/sprzedam-mieszkanie-trzypokojowe-przy-jana-kazimierza-CID3-IDDpWYP.html#529fe8f04c;promoted
9,"b'Bezpo\xc5\x9brednio Tarchomin, 2 pokoje, Odkryta'",314000,"b'Warszawa, Bia\xc5\x82o\xc5\x82\xc4\x99ka'",,,https://www.olx.pl/oferta/bezposrednio-tarchomin-2-pokoje-odkryta-CID3-IDCMHFV.html#529fe8f04c;promoted
